Adamache
Moceanu
Moculescu
Moga
Moise
Moisil
Moisuc
Moldovan
Moldovanu
Moldoveanu
Morar
Morariu
Moraru
Moroșanu
Moscovici
Movilă
Mungiu
Muntean
Munteanu
Mureșan
Mureșanu
Murgoci
Mușat
Naghi
Naum
Neagoe
Neagu
Nechita
Necula
Negoiță
Negoiţescu
Negrescu
Negru
Negruzzi
Negulescu
Nemeș
Nemescu
Nenițescu
Nichita
Nicoară
Nicolaescu
Nicolau
Nicolescu
Nicu
Niculae
Niculescu
Nistor
Niță
Nuta(name)
Oanță
Olaru
Olinescu
Oltean
Olteanu
Onciul
Oprea
Oprescu
Orășanu
Otvoș
Păcuraru
Păduraru
Paler
Panait
Panaitescu
Paraschiv
Pârvulescu
Pascu
Pâslaru
Pătrașcu
Paulescu
Păun
Pavel
Pavelescu
Pavlovici
Pellea
Petcu
Petre
Petrescu
Petrovici
Pillat
Pintea
Pintilie
Pippidi
Pîrvulescu
Pițurcă
Plămădeală
Poenaru
Poénaru
Pogonat
Poienaru
Pop
Popa
Popea
Popescu
Popovici
Potra
Preda
Predoiu
Proca
Prodan
Puiu
Pușcariu
Pușcaș
Răceanu
Racoviță
Rădoi
Radu
Răducan
Răducanu
Rădulescu
Rațiu
Rebreanu
Rednic
Robu
Romanescu
Roșca
Rosetti
Rotariu
Rotaru
Rudeanu
Rus
Rusescu
Rusu
Rusu
Sabău
Sadoveanu
Săftoiu
Șalaru
Sandu
Sârbu
Sătmăreanu
Săulescu
Săvescu
Savin(name)
Săvulescu
Scarlat
Șerb
Șerban
Șerbănescu
Șerbu
Serghei
Silaghi
Simionescu
Skutnik
Sperantia
Spîrlea
Stan
Stanciu
Stancu
Stănculescu
Stănescu
Ștefan
Ștefănescu
Știrbei
Stoenescu
Stoica
Stolojan
Stroe
Stroescu
Suciu
Șuluțiu
Surdu
Surugiu
Tănase
Tănăsescu
Taran(name)
Țăranu
Teodoreanu
Teodorescu
Theodorescu
Timofte
Tismăneanu
Țițeica
Todoran
Toma(name)
Tomoiagă
Torje
Trifa
Tudor(name)
Tudose
Țurcan
Țurcanu
Turei
Udrea
Ungur
Ungureanu
Ursu
Văduva
Vântu
Vasilache
Vasile
Vasilescu
Vasiliu
Velculescu
Vernescu
Vianu
Vieru
Vizitiu
Vlădescu
Vlaicu
Voicu
Voiculescu
Voiculeț
Voinea
Voinescu
Vulcan
Xenopol
Zaharia
Zamfir
Zamfirescu
Zidaru
