ACHIM
Englebert
Ercanbald
Erdmann
Erdmut
Erdmuth
Erhard
Erich
Ernst
Ernst
Ernust
Erwin
Erwin
Etzel
Eugen
Everett
Evert
Evert
Ewald
Faber
Factor
Faramond
Faramund
Fastred
Fedde
Feirefiz
Ferdinand
Fester
Filabert
Filbert
Florenz
Fonso
Frank
Franken
Franz
Franz
Franzen
Franzl
Freddercke
Freddy
Frederick
Fredi
Freidrich
Frideric
Fridric
Friedel
Friedemann
Friederic
Friedhelm
Friedhold
Friedl
Friedrich
Friedrich
Fritz
Fritz
Fritzchen
Fulbright
Fulco
Fynn
Gairovald
Gamhard
Gannet
Garrit
Gatsby
Gaufrid
Gautelen
Gebbert
Gebhard
Georg
Gerd
Gereon
Gerfried
Gerhard
Gerhard
Gerhardt
Gerhart
Gerhart
Gerhold
Gerlach
Gernot
Gerrit
Gerrit
Gert
Gervas
Gervas
Gerwulf
Gevehard
Gilbert
Giselbert
Gisfrid
Gisil
Gisilbert
Godafrid
Godehard
Godfrey
Gomeric
Gottfried
Gottfried
Gotthard
Gotthilf
Gotthold
Gottlieb
Gottlob
Gottschalk
Gozzo
Gredorius
Guenther
Gunther
Guntram
Götz
Günter
Günter
G�nther
Hackett
Hagan
Haimirich
Haimo
Haines
Halward
Hamlin
Hampe
Hamprecht
Han
Hanke
Hanno
Hans
Hans
Hansel
Harald
Harbin
Hardwin
Hariric
Harlan
Harm
Harman
Harman
Harmand
Harmon
Harry
Hartman
Hartman
Hartmann
Hartmut
Hartwig
Hartwig
Hartwin
Haydn
Haydn
Heiden
Heike
Heiko
Heilgar
Heimbrecht
Heimerich
Heimo
Heine
Heiner
Heino
Heinrich
Heinrich
Heinz
Heinz
Helfgott
Helfried
Heller
Helmfrid
Helmfried
Helmut
Helmut
Helmuth
Henry
Herbert
Herbert
Heribert
Heribert
Herman
Hermann
Hermann
Herrick
Herrick
Hieronymous
Hieronymus
Hilbert
Hildebert
Hildebrand
Hinrich
Hlodovic
Hludowig
Hludwig
Hoover
Horatio
Horatius
Horst
Horst
Howard
Howe
Hraban
Hroda
Hrodebert
Hrodgar
Hrodland
Hrodric
Hrodrick
Hrodulf
Hrodwulf
Hrolf
Hrotger
Hubert
Hugh
Hugo
Hugubert
Hulbert
Hulderich
Humbert
Humbryct
Humfried
Humphrey
Hunbeorht
Huncberct
Huppert
Hupprecht
ISAAK
Ignacius
Ignate
Ignatz
Ignatz
Immanuel
Immanuel
Inglebert
Ingo
Ingram
Ingwaz
Irmingild
Isidor
Ivo
Ivo
Ivon
Izaak
Jakob
Jan
Jannick
Jannik
Jarrell
Jarvis
Jeffrey
Jeremias
Jeremius
Jeter
Jochem
Jochen
Jochim
Jochim
Johan
Johan
Johann
Johannes
Jurian
Just
Justus
Jörg
Jörn
J�rgen
Kai
Kaiser
Kaiser
Kalman
Karl
Karl
Karlmann
Karsten
Karsten
Kasimir
Kasimir
Kaspar
Kayetan
Kellan
Kellen
Keller
Kiefer
Kiefer
Kilian
Killian
Klaus
Klaus
Klemens
Klemens
Kolman
Koloman
Konrad
Konstantin
Korbinian
Krischan
Kuno
Kuonrat
Kurt
Kurt
Kurtis
Kyler
Körbl
LEON
Lambert
Lammert
Lamprecht
Landebert
Landoberct
Lanzo
Leberecht
Len
Lenard
Lennard
Lenz
Leo
Leon
Leonard
Leonhard
Leonhard
Leonhardt
Leopold
Leudbold
Leutpald
Levin
Lewenhart
Liutbald
Liutbert
Liutpold
Lochner
Loeb
Loew
Lorenz
Lothar
Lothar
Lothur
Lou
Loudon
Louis
Lubbert
Ludwig
Ludwig
Luis
Luitger
Luitpold
Luitpold
Lukas
Lukas
Luther
Luther
Lutz
Malger
Manfred
Manfred
Manfrid
Manfrid
Manfried
Manfried
Mann
Manni
Markell
Marko
Markus
Markus
Marten
Marx
Marz
Mathais
Mathi
Mathis
Mathis
Matthaeus
Matthaus
Matthis
Mattäus
Matz
Maximilian
Maynard
Meinard
Meinhard
Meinhard
Meino
Meinrad
Menno
Merten
Milo
Modern North German contracted form of Old German Rudolf, meaning "famous wolf."
Morency
Moritz
Moritz
Mortiz
Mozart
Nagel
Nickolaus
Niclaus
Niklaus
Nikolaus
Norbert
Odilio
Odo
Ortwin
Oskar
Otfried
Otho
Otis
Otto
Otto
Ottocar
Ottokar
Ottomar
Pankraz
Parsifal
Parzifal
Parzival
Paulin
Penrod
Pepin
Pfeffer
Pharamond
Philipp
Philipp
Philo
Pippin
Poldi
Poldi
Poldie
Raban
Radulf
Rafael
Raginmund
Raginwald
Raimund
Rainer
Rainer
Rainier
Rannulf
Ranulf
Raymond
Reginar
Reginhard
Reginmund
Reimund
Reimund
Rein
Reinald
Reiner
Reinhard
Reinhold
Reinhold
Reinmund
Reino
Reinwald
Reto
Reynard
Richard
Richart
Richie
Richmond
Rickert
Ricohard
Rikert
Ritter
Robert
Rocco
Roderick
Rodman
Rodolf
Roger
Rohmer
Roland
Rolf
Rollo
Romer
Romy
Roth
Rudi
Rudolf
Rudolf
Rudolph
Rudy
Rune
Rupert
Rupert
Rupprecht
Rupprecht
Ruprecht
Ryker
Rötger
Rüdiger
Rüdiger
Salomo
Sascha
Sascha
Saxon
Seifert
Seifried
Selig
Sepp
Seppel
Severin
Severin
Shermon
Siegbert
Siegfrid
Siegfried
Siegfried
Sieghard
Siegmund
Siegmund
Siegward
Siemen
Sigi
Sigismund
Sigiswald
Sigmund
Sigmund
Sikke
Silvan
Silvester
Simmy
Sjoerd
Stanislav
Stefan
Stefan
Steffen
Stephan
Strom
Süssmann
Tadday
Tancred
Tancred
Tederich
Terenz
Tewdor
Theobald
Theodor
Theodor
Theodoric
Theodoric
Theudobald
Tielo
Till
Till
Tillo
Timo
Timotheus
Tiwaz
Tjark
Tomas
Traugott
Tönjes
Udo
Ulbrecht
Ulfric
Uli
Ullric
Ullrich
Ulrich
Ulrich
Ulz
Unique German boy names to watch include Amory, Ansel, Benno, Boden, Hugo, Leopold, Luther, Otis, Otto, Roland, Walden, Wilbur, and Wolf. You can explore the complete roster of German boy names on Nameberry on this page. You may also want to browse our list of German girl names.
Urbanus
Urs
Utz
Utz
Uwe
Valentin
Valentin
Valter
Veit
Velten
Velten
Vergil
Verlin
Vilhelm
Vincens
Vinzenz
Vischer
Volker
Volney
Wagner
Walahfried
Waldemar
Waldemar
Walden
Walder
Waldhar
Waldheri
Waldo
Waldo
Waldobert
Walli
Walt
Walten
Walter
Walthari
Walther
Walther
Walthere
Waltili
Walton
Warin
Warinot
Wendel
Wendelin
Wendell
Wendell
Wenzel
Wenzeslaus
Wenzeslaus
Werner
Werner
Wernher
Werther
Werther
Wetzel
Wiebe
Wieland
Wilbart
Wilbert
Wilbur
Wilfrid
Wilfried
Wilhelm
Wilhelm
Wilhelmus
Willafried
Willahelm
Willerich
Willi
Willi
Willifred
Wilmar
Wilmer
Wim
Wim
Winfried
Witold
Wolf
Wolf
Wolfgang
Wolfgang
Wolfram
Wotan
Xaver
Yngvi
Yvo
Zahn
Zamiel
Ziggy
Ägid
Ägidius
